country_id,latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,brightness,bright_t31,type
UKR,47.85934,33.4474,302.0,0.52,0.42,2023-02-22,15,N,VIIRS,n,2.0NRT,272.87,1.36,N,,,
UKR,47.86591,33.43571,307.8,0.52,0.42,2023-02-22,15,N,VIIRS,n,2.0NRT,272.56,1.91,N,,,
UKR,47.86777,33.43589,303.66,0.52,0.42,2023-02-22,15,N,VIIRS,n,2.0NRT,272.51,1.2,N,,,
UKR,47.87393,33.41729,299.36,0.52,0.41,2023-02-22,15,N,VIIRS,n,2.0NRT,275.33,0.85,N,,,
UKR,47.87682,33.40382,298.59,0.52,0.41,2023-02-22,15,N,VIIRS,n,2.0NRT,273.8,1.4,N,,,
UKR,45.47866,29.53634,323.24,0.43,0.38,2023-02-22,17,N,VIIRS,n,2.0NRT,273.97,3.9,N,,,
UKR,45.47967,29.53099,326.4,0.43,0.38,2023-02-22,17,N,VIIRS,n,2.0NRT,273.85,6.01,N,,,
UKR,45.69559,34.79784,337.15,0.39,0.44,2023-02-22,1002,N,VIIRS,n,2.0NRT,284.95,3.99,D,,,
UKR,48.46196,38.77736,326.76,0.4,0.37,2023-02-22,1004,N,VIIRS,n,2.0NRT,273.58,2.88,D,,,
UKR,47.86026,35.14449,302.72,0.42,0.38,2023-02-22,2358,N,VIIRS,n,2.0NRT,270.42,1.34,N,,,
UKR,47.8618,35.14618,296.55,0.42,0.38,2023-02-22,2358,N,VIIRS,n,2.0NRT,269.23,1.48,N,,,
UKR,47.86983,35.16137,308.5,0.42,0.38,2023-02-22,2358,N,VIIRS,n,2.0NRT,269.37,1.38,N,,,
UKR,47.87061,33.44532,311.31,0.39,0.36,2023-02-22,2358,N,VIIRS,n,2.0NRT,270.46,1.76,N,,,
UKR,47.87595,33.41439,302.57,0.39,0.36,2023-02-22,2358,N,VIIRS,n,2.0NRT,271.92,1.49,N,,,
UKR,48.00578,37.50892,326.16,0.49,0.4,2023-02-22,2358,N,VIIRS,n,2.0NRT,266.04,11.15,N,,,
UKR,48.47129,34.632,301.69,0.4,0.37,2023-02-22,2358,N,VIIRS,n,2.0NRT,268.31,1.09,N,,,
UKR,48.521,34.63073,308.2,0.4,0.37,2023-02-22,2358,N,VIIRS,n,2.0NRT,269.05,1.75,N,,,
UKR,48.52804,34.65091,300.31,0.4,0.37,2023-02-22,2358,N,VIIRS,n,2.0NRT,267.42,6.88,N,,,
UKR,48.53233,34.64691,316.13,0.4,0.37,2023-02-22,2358,N,VIIRS,n,2.0NRT,277.52,35.32,N,,,
UKR,45.82808,33.52643,326.6,0.35,0.57,2023-02-23,943,N,VIIRS,n,2.0NRT,277.75,1.07,D,,,
UKR,47.23264,33.26345,329.79,0.33,0.55,2023-02-23,943,N,VIIRS,n,2.0NRT,278.86,2.27,D,,,
UKR,47.62796,34.31862,344.61,0.58,0.52,2023-02-23,943,N,VIIRS,n,2.0NRT,279.76,7.97,D,,,
UKR,47.86982,33.44674,333.92,0.62,0.54,2023-02-23,943,N,VIIRS,n,2.0NRT,278.23,4.13,D,,,
UKR,47.86362,33.45142,,1.71,1.28,2023-02-23,902,Terra,MODIS,39,6.1NRT,,17.11,D,301.13,275.23,
UKR,50.80765,30.31493,,1.11,1.05,2023-02-23,902,Terra,MODIS,26,6.1NRT,,9.03,D,301.28,272.24,
UKR,50.81673,30.31881,,1.11,1.05,2023-02-23,902,Terra,MODIS,81,6.1NRT,,27.45,D,321.13,272.11,
UKR,48.61942,25.44326,,1.2,1.09,2023-02-23,1142,Aqua,MODIS,38,6.1NRT,,8.76,D,302.01,274.99,
UKR,48.21259,38.24575,347.64,0.42,0.61,2023-02-22,913,1,VIIRS,n,2.0NRT,274.28,6.97,D,,,
UKR,48.21424,38.247,354.7,0.42,0.61,2023-02-22,913,1,VIIRS,n,2.0NRT,273.89,5.99,D,,,
UKR,44.89626,33.7392,343.64,0.45,0.39,2023-02-22,1049,1,VIIRS,n,2.0NRT,285.87,5.85,D,,,
UKR,47.87088,33.4492,315.5,0.57,0.52,2023-02-22,2305,1,VIIRS,n,2.0NRT,270.01,3.64,N,,,
UKR,48.53105,34.6478,322.39,0.51,0.49,2023-02-22,2305,1,VIIRS,n,2.0NRT,267.1,3.73,N,,,
UKR,48.00653,37.51186,330.82,0.55,0.68,2023-02-23,45,1,VIIRS,n,2.0NRT,262.26,4.68,N,,,
UKR,48.46202,38.77956,321.42,0.6,0.7,2023-02-23,45,1,VIIRS,n,2.0NRT,260.9,8.75,N,,,
UKR,48.46206,38.77426,367.0,0.6,0.7,2023-02-23,45,1,VIIRS,h,2.0NRT,264.39,14.09,N,,,
UKR,48.46472,38.772,350.65,0.6,0.7,2023-02-23,45,1,VIIRS,n,2.0NRT,260.49,11.36,N,,,
UKR,45.82679,33.53093,328.94,0.39,0.36,2023-02-23,1032,1,VIIRS,n,2.0NRT,281.63,2.91,D,,,
UKR,46.35082,32.94987,328.71,0.39,0.36,2023-02-23,1032,1,VIIRS,n,2.0NRT,281.47,7.14,D,,,
UKR,46.72227,32.28683,336.47,0.39,0.36,2023-02-23,1032,1,VIIRS,n,2.0NRT,278.56,9.99,D,,,
UKR,46.82229,32.08298,334.0,0.39,0.36,2023-02-23,1032,1,VIIRS,n,2.0NRT,285.4,4.63,D,,,
UKR,46.93862,32.63786,333.06,0.39,0.36,2023-02-23,1032,1,VIIRS,n,2.0NRT,283.7,4.6,D,,,
UKR,47.26955,34.03315,331.85,0.38,0.36,2023-02-23,1032,1,VIIRS,n,2.0NRT,278.15,1.95,D,,,
UKR,47.82985,37.58569,335.07,0.45,0.39,2023-02-23,1032,1,VIIRS,n,2.0NRT,273.44,4.16,D,,,
UKR,47.86919,33.44999,329.12,0.38,0.36,2023-02-23,1032,1,VIIRS,n,2.0NRT,281.92,2.62,D,,,
UKR,47.88695,31.31505,327.39,0.4,0.37,2023-02-23,1034,1,VIIRS,n,2.0NRT,280.03,1.18,D,,,
UKR,48.16677,30.93747,331.68,0.4,0.37,2023-02-23,1034,1,VIIRS,n,2.0NRT,281.91,2.92,D,,,
UKR,48.5191,34.63189,329.34,0.39,0.36,2023-02-23,1034,1,VIIRS,n,2.0NRT,276.64,3.54,D,,,
UKR,48.58997,38.02766,333.59,0.47,0.4,2023-02-23,1034,1,VIIRS,n,2.0NRT,272.67,4.19,D,,,
UKR,48.65628,34.6353,328.26,0.39,0.36,2023-02-23,1034,1,VIIRS,n,2.0NRT,276.12,2.65,D,,,
UKR,49.94917,35.27301,327.59,0.41,0.37,2023-02-23,1034,1,VIIRS,n,2.0NRT,273.72,2.69,D,,,
UKR,50.17693,28.48627,328.19,0.43,0.38,2023-02-23,1034,1,VIIRS,n,2.0NRT,274.0,1.63,D,,,
UKR,47.85934,33.4474,302.0,0.52,0.42,2023-02-22,15,N,VIIRS,n,2.0NRT,272.87,1.36,N,,,
UKR,47.86591,33.43571,307.8,0.52,0.42,2023-02-22,15,N,VIIRS,n,2.0NRT,272.56,1.91,N,,,
UKR,47.86777,33.43589,303.66,0.52,0.42,2023-02-22,15,N,VIIRS,n,2.0NRT,272.51,1.2,N,,,
UKR,47.87393,33.41729,299.36,0.52,0.41,2023-02-22,15,N,VIIRS,n,2.0NRT,275.33,0.85,N,,,
UKR,47.87682,33.40382,298.59,0.52,0.41,2023-02-22,15,N,VIIRS,n,2.0NRT,273.8,1.4,N,,,
UKR,45.47866,29.53634,323.24,0.43,0.38,2023-02-22,17,N,VIIRS,n,2.0NRT,273.97,3.9,N,,,
UKR,45.47967,29.53099,326.4,0.43,0.38,2023-02-22,17,N,VIIRS,n,2.0NRT,273.85,6.01,N,,,
UKR,45.69559,34.79784,337.15,0.39,0.44,2023-02-22,1002,N,VIIRS,n,2.0NRT,284.95,3.99,D,,,
UKR,48.46196,38.77736,326.76,0.4,0.37,2023-02-22,1004,N,VIIRS,n,2.0NRT,273.58,2.88,D,,,
UKR,47.86026,35.14449,302.72,0.42,0.38,2023-02-22,2358,N,VIIRS,n,2.0NRT,270.42,1.34,N,,,
UKR,47.8618,35.14618,296.55,0.42,0.38,2023-02-22,2358,N,VIIRS,n,2.0NRT,269.23,1.48,N,,,
UKR,47.86983,35.16137,308.5,0.42,0.38,2023-02-22,2358,N,VIIRS,n,2.0NRT,269.37,1.38,N,,,
UKR,47.87061,33.44532,311.31,0.39,0.36,2023-02-22,2358,N,VIIRS,n,2.0NRT,270.46,1.76,N,,,
UKR,47.87595,33.41439,302.57,0.39,0.36,2023-02-22,2358,N,VIIRS,n,2.0NRT,271.92,1.49,N,,,
UKR,48.00578,37.50892,326.16,0.49,0.4,2023-02-22,2358,N,VIIRS,n,2.0NRT,266.04,11.15,N,,,
UKR,48.47129,34.632,301.69,0.4,0.37,2023-02-22,2358,N,VIIRS,n,2.0NRT,268.31,1.09,N,,,
UKR,48.521,34.63073,308.2,0.4,0.37,2023-02-22,2358,N,VIIRS,n,2.0NRT,269.05,1.75,N,,,
UKR,48.52804,34.65091,300.31,0.4,0.37,2023-02-22,2358,N,VIIRS,n,2.0NRT,267.42,6.88,N,,,
UKR,48.53233,34.64691,316.13,0.4,0.37,2023-02-22,2358,N,VIIRS,n,2.0NRT,277.52,35.32,N,,,
UKR,45.82808,33.52643,326.6,0.35,0.57,2023-02-23,943,N,VIIRS,n,2.0NRT,277.75,1.07,D,,,
UKR,47.23264,33.26345,329.79,0.33,0.55,2023-02-23,943,N,VIIRS,n,2.0NRT,278.86,2.27,D,,,
UKR,47.62796,34.31862,344.61,0.58,0.52,2023-02-23,943,N,VIIRS,n,2.0NRT,279.76,7.97,D,,,
UKR,47.86982,33.44674,333.92,0.62,0.54,2023-02-23,943,N,VIIRS,n,2.0NRT,278.23,4.13,D,,,
